Municipio,Provincia,Habitantes(2022),CarrilBici,DistanciaaMadrid(km),TiempomediodeviajeaMadridencoche,TiempomediodeviajeaMadridentrenoautobús,DistanciaaBarcelona(km),TiempomediodeviajeaBarcelonaencoche,TiempomediodeviajeaBarcelonaentrenoautobús,AeropuertoInternacionalmáscercano,Númerodeconexionesdelaeropuertointernacionalmáscercano,Distanciaalaeropuertointernacionalmáscercano(km),Temperaturamáximamedia(ºC),Temperaturamínimamedia(ºC),PatrimoniodelaHumanidad,%díascalidaddelaireBuena,%díascalidaddelaireRazonablementeBuena,%díascalidaddelaireRegular,%díascalidaddelaireDesfavorable,%díascalidaddelaireMuyDesfavorable,%díascalidaddelaireExtremadamenteDesfavorable,Ponderacióncalidaddelaire,HorasdeSolmediasanuales,IDComunidadAutonoma
A Coruña,A Coruña,244700,20.4,593,05:37:00,04:32:00,1084,11:00:00,12:00:00,A Coruña,9,11.6,24,7,Sí,20,73,4,3,0,0,410,2453.0,13
Albacete,Albacete,172357,24.4,260,02:34:00,01:37:00,545,05:22:00,05:25:00,"Alacant-Elx 
Miguel Hernández",119,169.0,33,0,No,3,72,16,9,0,0,369,3282.0,6
Alcalá de Guadaíra,Sevilla,75917,0.0,531,05:09:00,03:29:00,995,09:50:00,12:00:00,Sevilla,70,21.1,35,5,No,14,72,11,3,0,0,397,3526.0,1
Alcalá de Henares,Madrid,196888,28.0,40,00:39:00,00:42:00,586,05:30:00,03:20:00,"Adolfo Suárez 
Madrid-Barajas",174,21.0,33,1,Sí,17,68,11,3,0,0,396,2691.0,9
Alcobendas,Madrid,117041,53.8,24,00:25:00,00:22:00,613,05:47:00,03:49:00,"Adolfo Suárez 
Madrid-Barajas",174,9.1,33,0,No,22,67,8,3,0,0,408,2691.0,9
Alcorcón,Madrid,170296,17.6,15,00:34:00,00:20:00,631,06:03:00,03:09:00,"Adolfo Suárez 
Madrid-Barajas",174,29.5,33,0,No,12,76,10,2,0,0,398,2691.0,9
Algeciras,Cádiz,122368,0.0,662,06:20:00,05:40:00,1106,11:00:00,14:00:00,Jerez,16,107.0,28,11,No,13,80,4,2,0,0,401,3316.0,1
Alicante,Alicante,338577,39.3,427,04:02:00,02:25:00,525,05:18:00,08:00:00,"Alacant-Elx 
Miguel Hernández",119,11.1,31,7,No,32,62,5,0,0,0,423,3397.0,11
Almería,Almería,199237,40.2,551,05:15:00,10:05:00,803,07:55:00,12:00:00,Almería,19,8.6,30,8,No,5,81,10,4,0,0,387,3305.0,1
Avilés,Asturias,75877,9.9,481,04:41:00,05:00:00,893,08:49:00,13:00:00,Asturias,24,14.5,22,7,No,6,84,7,N/D,0,0,395,1962.0,15
Badajoz,Badajoz,150146,0.0,404,03:44:00,04:28:00,1021,09:53:00,16:00:00,Sevilla,70,217.0,35,3,No,33,59,6,4,0,0,423,3224.0,12
Badalona,Barcelona,223506,0.9,633,06:21:00,03:02:00,10,00:23:00,00:21:00,"Josep Tarradellas
Barcelona-El Prat",170,24.7,29,5,No,33,63,4,2,0,0,429,2453.0,8
Barakaldo,Bizkaia,100535,16.0,408,04:03:00,04:54:00,612,05:51:00,09:40:00,Bilbao,46,16.0,24,6,No,44,43,7,0,0,0,423,1694.0,14
Barcelona,Barcelona,1636193,14.1,623,06:15:00,02:45:00,0,,,"Josep Tarradellas
Barcelona-El Prat",170,12.6,28,5,Sí,31,67,2,5,0,0,429,2453.0,8
Bilbao,Bizkaia,344127,9.8,401,03:59:00,04:28:00,605,05:44:00,10:10:00,Bilbao,46,12.1,24,5,No,55,36,5,0,0,0,442,1694.0,14
Burgos,Burgos,173483,34.6,248,02:37:00,02:24:00,602,05:46:00,04:48:00,Vitoria,3,122.0,27,-1,Sí,80,17,2,4,0,0,476,2751.0,7
Cáceres,Cáceres,95456,53.4,297,02:50:00,03:03:00,914,08:51:00,11:29:00,Sevilla,70,269.0,34,1,Sí,23,63,11,1,0,0,406,3365.0,12
Cádiz,Cádiz,113066,0.0,647,05:59:00,04:32:00,1109,10:49:00,12:00:00,Jerez,16,42.3,29,8,No,10,77,10,3,0,0,394,3316.0,1
Cartagena,Murcia,216961,20.7,453,04:17:00,04:37:00,626,06:09:00,09:30:00,Región de Murcia,15,32.1,29,6,No,8,80,9,3,0,0,395,3348.0,16
Castelló de la Plana,Castellón,171857,50.0,460,04:17:00,03:29:00,278,02:56:00,02:20:00,Castelló,11,33.1,28,7,No,41,58,2,4,0,0,443,3321.0,11
Ceuta,Ceuta,83117,1.2,704,08:34:00,13:00:00,1171,13:20:00,18:00:00,Jerez,16,149.0,27,11,No,12,75,12,0,0,0,396,2817.45,18
Córdoba,Córdoba,319515,41.6,396,03:52:00,01:52:00,860,08:23:00,04:52:00,Sevilla,70,137.0,36,4,Sí,24,59,8,0,1,0,399,3316.0,1
Coslada,Madrid,80596,13.6,16,00:25:00,00:20:00,606,05:46:00,02:55:00,"Adolfo Suárez 
Madrid-Barajas",174,6.7,33,1,No,14,68,12,N/D,1,0,389,2691.0,9
Dos Hermanas,Sevilla,137561,0.0,544,05:03:00,03:31:00,1000,09:49:00,11:24:00,Sevilla,70,20.4,35,5,No,28,57,5,9,0,0,383,3526.0,1
El Ejido,Almería,87500,0.0,552,05:14:00,08:40:00,830,08:15:00,11:08:00,Almería,19,51.1,30,9,No,11,74,10,N/D,0,0,391,3305.0,1
Elche,Alicante,235580,11.0,423,03:58:00,03:11:00,529,05:16:00,08:30:00,"Alacant-Elx 
Miguel Hernández",119,19.2,31,6,Sí,25,71,4,5,0,0,421,3397.0,11
Fuenlabrada,Madrid,189891,9.5,25,00:28:00,00:25:00,638,06:03:00,03:01:00,"Adolfo Suárez 
Madrid-Barajas",174,34.3,33,0,No,14,74,9,0,0,0,399,2691.0,9
Gandia,Valencia,75911,14.5,436,04:11:00,04:02:00,429,04:17:00,05:45:00,València,89,76.9,30,7,No,38,60,2,5,0,0,436,2808.0,11
Getafe,Madrid,183219,40.4,16,00:24:00,00:17:00,630,05:58:00,02:56:00,"Adolfo Suárez 
Madrid-Barajas",174,25.9,33,0,No,15,70,11,N/D,0,0,396,2691.0,9
Getxo,Bizkaia,76365,41.9,415,04:05:00,04:47:00,619,05:54:00,08:59:00,Bilbao,46,18.8,24,6,Sí,52,37,6,0,0,0,432,1694.0,14
Gijón,Asturias,267706,22.4,466,04:25:00,05:55:00,869,08:28:00,13:00:00,Asturias,24,41.8,23,7,No,2,68,18,N/D,0,0,362,1962.0,15
Girona,Girona,102666,24.9,692,06:50:00,03:44:00,102,01:20:00,00:38:00,"Girona-
Costa Brava",17,15.5,31,2,No,93,7,0,3,0,0,493,2800.0,8
Granada,Granada,228682,32.8,418,04:04:00,03:51:00,855,08:36:00,12:00:00,Federico García Lorca-Granada,8,17.5,34,0,Sí,16,64,10,0,0,0,384,3228.0,1
Guadalajara,Guadalajara,87452,35.4,66,00:53:00,00:45:00,560,05:15:00,03:38:00,"Adolfo Suárez 
Madrid-Barajas",174,46.6,32,0,No,21,68,7,4,1,0,407,2900.0,6
Huelva,Huelva,141854,40.2,612,05:34:00,04:22:00,1087,10:46:00,14:00:00,Sevilla,70,102.0,31,7,No,46,46,6,3,0,0,436,3527.0,1
Jaén,Jaén,111669,0.0,332,03:14:00,03:13:00,796,07:36:00,12:00:00,Federico García Lorca-Granada,8,95.5,36,1,Sí,8,70,16,13,1,0,379,3289.0,1
Jerez de la Frontera,Cádiz,212730,14.6,618,05:37:00,03:58:00,1080,10:39:00,11:42:00,Jerez,16,11.5,32,6,No,15,71,13,0,0,0,400,3316.0,1
L'Hospitalet de Llobregat,Barcelona,265444,0.0,620,06:08:00,02:50:00,6,00:22:00,00:06:00,"Josep Tarradellas
Barcelona-El Prat",170,9.8,29,5,No,17,73,7,9,0,0,404,2453.0,8
Las Palmas de Gran Canaria,Las Palmas,378797,6.6,1928,13:00:00,,2546,,,Gran Canaria,127,25.2,27,16,No,16,65,7,4,2,2,379,2800.0,4
Leganés,Madrid,186660,16.1,20,00:27:00,00:18:00,630,06:03:00,02:59:00,"Adolfo Suárez 
Madrid-Barajas",174,28.0,33,0,No,12,71,12,2,0,0,390,2691.0,9
León,León,120951,18.2,340,03:25:00,02:12:00,777,07:28:00,12:00:00,Valladolid,6,129.0,27,0,Sí,58,33,5,5,0,0,443,2817.45,7
Lleida,Lleida,140797,26.3,468,04:30:00,02:11:00,160,01:52:00,01:05:00,Reus,14,88.0,33,1,No,93,6,0,1,0,0,489,2817.45,8
