ComunidadAutónoma,IDComunidadAutonoma
España,0
Andalucía,1
Aragón,2
Illes Balears,3
Las Palmas,4
Santa Cruz de Tenerife,4
Cantabria,5
Castilla-La Mancha,6
Castilla y León,7
Cataluña,8
Madrid,9
Navarra,10
Comunidad Valenciana,11
Extremadura,12
Galicia,13
País Vasco,14
Asturias,15
Murcia,16
La Rioja,17
Ceuta,18
Melilla,19
