Localización,Precio m2 jul,Variación mensual,Variación trimestral,Variación anual,Máximo histórico,Variación máximo,IDComunidadAutonoma
Segovia provincia,8.5,"+ 0,3 %","+ 6,3 %","+ 8,3 %","8,5 €/m2 jul 2023","0,0 %",7
Segovia,9.3,"- 0,8 %","+ 4,6 %","+ 7,2 %","9,4 €/m2 jun 2023","- 0,8 %",7
Soria provincia,7.1,"+ 2,3 %","+ 5,5 %","+ 11,7 %","7,1 €/m2 jul 2023","0,0 %",7
Soria,7.8,"+ 0,6 %","+ 5,2 %","+ 15,8 %","7,8 €/m2 jul 2023","0,0 %",7
Valladolid provincia,7.3,"+ 0,7 %","+ 1,6 %","+ 1,9 %","7,3 €/m2 jul 2023","0,0 %",7
Valladolid,7.6,"+ 0,9 %","+ 2,5 %","+ 3,5 %","7,6 €/m2 jul 2023","0,0 %",7
Zamora provincia,5.7,"+ 0,7 %","+ 4,1 %","+ 4,6 %","5,7 €/m2 jul 2023","0,0 %",7
Zamora,6.3,"+ 1,1 %","+ 7,3 %","+ 9,9 %","6,3 €/m2 jul 2023","0,0 %",7
Castilla-La Mancha,6.5,"+ 0,5 %","+ 2,7 %","+ 5,5 %","6,5 €/m2 jul 2023","0,0 %",6
Albacete provincia,6.6,"+ 0,6 %","- 0,2 %","+ 3,9 %","6,6 €/m2 abr 2023","- 0,2 %",6
Albacete,7.2,"- 0,4 %","+ 0,2 %","+ 6,4 %","7,2 €/m2 mayo 2023","- 0,5 %",6
Ciudad Real provincia,5.7,"0,0 %","+ 0,7 %","+ 3,4 %","5,7 €/m2 jul 2023","0,0 %",6
Ciudad Real,6.2,"+ 0,2 %","- 0,6 %","+ 3,8 %","6,3 €/m2 dic 2010","- 2,3 %",6
Cuenca provincia,6.2,"+ 0,6 %","+ 8,6 %","+ 6,3 %","6,2 €/m2 jul 2023","0,0 %",6
Cuenca,7.1,"- 0,2 %","+ 6,3 %","+ 5,2 %","7,1 €/m2 jun 2023","- 0,2 %",6
Guadalajara provincia,7.6,"- 0,6 %","+ 4,2 %","+ 7,5 %","7,6 €/m2 jun 2023","- 0,6 %",6
Guadalajara,8.2,"- 0,1 %","+ 4,3 %","+ 6,5 %","8,2 €/m2 jun 2023","- 0,1 %",6
Toledo provincia,6.8,"+ 1,0 %","+ 3,7 %","+ 5,6 %","6,8 €/m2 jul 2023","0,0 %",6
Toledo,8.1,"- 1,0 %","+ 0,6 %","+ 6,5 %","8,2 €/m2 mayo 2023","- 1,0 %",6
Cataluña,15.3,"+ 1,2 %","+ 3,1 %","+ 10,8 %","15,3 €/m2 jul 2023","0,0 %",8
Barcelona provincia,16.2,"+ 1,0 %","+ 2,2 %","+ 11,4 %","16,2 €/m2 jul 2023","0,0 %",8
Barcelona,18.9,"+ 0,8 %","+ 1,7 %","+ 14,7 %","18,9 €/m2 jul 2023","0,0 %",8
Girona provincia,12.7,"+ 7,1 %","+ 14,0 %","+ 16,8 %","13,2 €/m2 ago 2007","- 4,2 %",8
Girona,10.8,"- 1,9 %","- 1,1 %","+ 5,9 %","11,2 €/m2 feb 2023","- 4,0 %",8
Lleida provincia,8.5,"+ 0,8 %",n.d.,"+ 11,2 %","10,2 €/m2 dic 2022","- 16,6 %",8
Lleida,8.0,"+ 0,5 %","+ 2,7 %","+ 2,8 %","8,0 €/m2 jul 2023","0,0 %",8
Tarragona provincia,8.7,"+ 1,7 %","+ 5,2 %","+ 8,2 %","10,0 €/m2 ago 2007","- 12,8 %",8
Tarragona,9.6,"- 1,8 %","+ 3,2 %","+ 10,8 %","9,7 €/m2 jun 2023","- 1,8 %",8
Ceuta,11.8,"- 3,9 %",n.d.,n.d.,"12,3 €/m2 jun 2023","- 3,9 %",18
Ceuta provincia,11.8,"- 3,9 %",n.d.,n.d.,"12,3 €/m2 jun 2023","- 3,9 %",18
Ceuta,11.8,"- 3,9 %",n.d.,n.d.,"12,3 €/m2 jun 2023","- 3,9 %",18
Comunitat Valenciana,9.9,"+ 2,3 %","+ 7,5 %","+ 15,4 %","10,0 €/m2 ene 2006","- 1,6 %",11
Alicante/Alacant,9.5,"+ 1,6 %","+ 6,3 %","+ 16,5 %","9,5 €/m2 jul 2023","0,0 %",11
Alicante / Alacant,10.2,"+ 1,5 %","+ 7,4 %","+ 21,8 %","10,2 €/m2 jul 2023","0,0 %",11
Castellón/Castelló,7.5,"+ 2,3 %","+ 9,7 %","+ 2,3 %","8,7 €/m2 mayo 2007","- 13,9 %",11
Castellón de la Plana / Castello de la Plana,7.2,"+ 1,1 %","+ 2,7 %","+ 8,0 %","7,2 €/m2 jul 2023","0,0 %",11
Valencia/Valéncia,10.5,"+ 2,3 %","+ 7,0 %","+ 16,8 %","10,5 €/m2 jul 2023","0,0 %",11
València,12.0,"+ 1,1 %","+ 4,0 %","+ 21,5 %","12,0 €/m2 jul 2023","0,0 %",11
Euskadi,12.9,"+ 1,8 %","+ 2,2 %","+ 6,1 %","12,9 €/m2 jul 2023","0,0 %",14
Álava,10.9,"+ 4,1 %","+ 3,5 %","+ 5,3 %","10,9 €/m2 jul 2023","0,0 %",14
Vitoria-Gasteiz,11.0,"+ 4,0 %","+ 2,6 %","+ 4,4 %","11,0 €/m2 jul 2023","0,0 %",14
Guipúzcoa,14.8,"+ 3,9 %","+ 5,1 %","+ 8,0 %","14,8 €/m2 jul 2023","0,0 %",14
Donostia-San Sebastián,16.5,"+ 3,8 %","+ 3,4 %","+ 10,2 %","16,5 €/m2 jul 2023","0,0 %",14
Vizcaya,12.5,"+ 0,9 %","+ 1,1 %","+ 4,9 %","12,5 €/m2 jul 2023","0,0 %",14
Bilbao,13.1,"0,0 %","- 1,2 %","+ 4,6 %","13,4 €/m2 feb 2023","- 2,7 %",14
Extremadura,6.1,"+ 0,2 %","+ 1,3 %","+ 7,5 %","6,1 €/m2 jul 2023","0,0 %",12
